district name,Region,Total,Group,Value
Capitol Region Education Council,,7179,Eligible for Free or Reduced Price Lunch,3219
Capitol Region Education Council,,7179,English Language Learner,216
Capitol Region Education Council,,7179,Special Education,1078
Education Connection,,228,Eligible for Free or Reduced Price Lunch,218
Education Connection,,228,English Language Learner,0
Education Connection,,228,Special Education,39
Cooperative Educational Services,,822,Eligible for Free or Reduced Price Lunch,238
Cooperative Educational Services,,822,English Language Learner,0
Cooperative Educational Services,,822,Special Education,340
Area Cooperative Educational Service Center,,1933,Eligible for Free or Reduced Price Lunch,1093
Area Cooperative Educational Service Center,,1933,English Language Learner,46
Area Cooperative Educational Service Center,,1933,Special Education,734
Learn,,2137,Eligible for Free or Reduced Price Lunch,840
Learn,,2137,English Language Learner,118
Learn,,2137,Special Education,276
Eastern Connecticut Regional Educational Service Center,,367,Eligible for Free or Reduced Price Lunch,156
Eastern Connecticut Regional Educational Service Center,,367,English Language Learner,7
Eastern Connecticut Regional Educational Service Center,,367,Special Education,139
Unified School District #1,,538,Eligible for Free or Reduced Price Lunch,538
Unified School District #1,,538,English Language Learner,0
Unified School District #1,,538,Special Education,233
Department of Mental Health and Addiction Services,,4,Eligible for Free or Reduced Price Lunch,*
Department of Mental Health and Addiction Services,,4,English Language Learner,*
Department of Mental Health and Addiction Services,,4,Special Education,*
Unified School District #2,,197,Eligible for Free or Reduced Price Lunch,132
Unified School District #2,,197,English Language Learner,*
Unified School District #2,,197,Special Education,125
Connecticut Technical High School,,10699,Eligible for Free or Reduced Price Lunch,4877
Connecticut Technical High School,,10699,English Language Learner,287
Connecticut Technical High School,,10699,Special Education,879
Norwich Free Academy District,,2325,Eligible for Free or Reduced Price Lunch,557
Norwich Free Academy District,,2325,English Language Learner,157
Norwich Free Academy District,,2325,Special Education,279
The Gilbert School District,,537,Eligible for Free or Reduced Price Lunch,240
The Gilbert School District,,537,English Language Learner,22
The Gilbert School District,,537,Special Education,80
Woodstock Academy District,,1033,Eligible for Free or Reduced Price Lunch,33
Woodstock Academy District,,1033,English Language Learner,*
Woodstock Academy District,,1033,Special Education,57
