Town,Year,Substance,Gender,Measure Type,Variable,Value
Watertown,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
West Hartford,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
West Haven,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Westbrook,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Weston,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Westport,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Wethersfield,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Willington,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Wilton,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Winchester,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Windham,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Windsor,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Windsor Locks,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,1
Wolcott,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,1
Woodbridge,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Woodbury,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Woodstock,2007,Prescription/Over the counter drug,Male,Number,School suspensions and expulsions in past year,0
Andover,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ansonia,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ashford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Avon,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Barkhamsted,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Beacon Falls,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Berlin,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bethany,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bethel,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bethlehem,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bloomfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bolton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bozrah,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Branford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bridgeport,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bridgewater,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Bristol,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Brookfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Brooklyn,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Burlington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Canaan,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Canterbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Canton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Chaplin,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Cheshire,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Chester,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Clinton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Colchester,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Colebrook,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Columbia,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Cornwall,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Coventry,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Cromwell,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Danbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,3
Darien,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Deep River,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Derby,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Durham,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
East Granby,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
East Haddam,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
East Hampton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
East Hartford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,3
East Haven,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
East Lyme,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
East Windsor,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Eastford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Easton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ellington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Enfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Essex,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Fairfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Farmington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Franklin,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Glastonbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Goshen,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Granby,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Greenwich,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Griswold,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,3
Groton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Guilford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Haddam,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Hamden,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Hampton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Hartford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Hartland,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Harwinton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Hebron,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Kent,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Killingly,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Killingworth,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Lebanon,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ledyard,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Lisbon,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Litchfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Lyme,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Madison,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,3
Manchester,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Mansfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Marlborough,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Meriden,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Middlebury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Middlefield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Middletown,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,7
Milford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Monroe,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Montville,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Morris,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Naugatuck,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Britain,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Canaan,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Fairfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Hartford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Haven,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New London,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
New Milford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Newington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Newtown,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Norfolk,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Branford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Canaan,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Haven,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
North Stonington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Norwalk,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Norwich,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Old Lyme,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Old Saybrook,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Orange,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Oxford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Plainfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Plainville,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Plymouth,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Pomfret,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Portland,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Preston,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Prospect,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Putnam,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Redding,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Ridgefield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Rocky Hill,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Roxbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Salem,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Salisbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Scotland,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Seymour,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sharon,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Shelton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sherman,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Simsbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Somers,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
South Windsor,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Southbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Southington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sprague,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Stafford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Stamford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Sterling,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Stonington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Stratford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Suffield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Thomaston,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Thompson,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Tolland,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Torrington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Trumbull,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Union,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Vernon,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Voluntown,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Wallingford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Warren,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Washington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Waterbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,2
Waterford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Watertown,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
West Hartford,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
West Haven,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Westbrook,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Weston,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Westport,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Wethersfield,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Willington,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Wilton,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Winchester,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Windham,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Windsor,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Windsor Locks,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Wolcott,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,1
Woodbridge,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Woodbury,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Woodstock,2007,Prescription/Over the counter drug,Female,Number,School suspensions and expulsions in past year,0
Andover,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Ansonia,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Ashford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Avon,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Barkhamsted,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Beacon Falls,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,34
Berlin,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,9
Bethany,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Bethel,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Bethlehem,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Bloomfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Bolton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Bozrah,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Branford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Bridgeport,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,20
Bridgewater,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Bristol,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,22
Brookfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Brooklyn,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Burlington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Canaan,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Canterbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Canton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Chaplin,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Cheshire,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Chester,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Clinton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Colchester,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,15
Colebrook,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Columbia,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Cornwall,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Coventry,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,12
Cromwell,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Danbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Darien,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Deep River,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Derby,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,12
Durham,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
East Granby,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,3
East Haddam,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,11
East Hampton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
East Hartford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
East Haven,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,15
East Lyme,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
East Windsor,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Eastford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Easton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Ellington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Enfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,33
Essex,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Fairfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Farmington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Franklin,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Glastonbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Goshen,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Granby,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Greenwich,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Griswold,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,9
Groton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Guilford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Haddam,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Hamden,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Hampton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Hartford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,15
Hartland,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Harwinton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Hebron,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Kent,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Killingly,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Killingworth,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Lebanon,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Ledyard,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Lisbon,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Litchfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Lyme,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Madison,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,15
Manchester,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,9
Mansfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Marlborough,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Meriden,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,21
Middlebury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Middlefield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Middletown,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Milford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Monroe,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Montville,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,21
Morris,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Naugatuck,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,29
New Britain,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,10
New Canaan,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
New Fairfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,6
New Hartford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
New Haven,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,13
New London,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
New Milford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Newington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Newtown,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,10
Norfolk,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
North Branford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,11
North Canaan,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
North Haven,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
North Stonington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Norwalk,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,11
Norwich,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Old Lyme,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Old Saybrook,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Orange,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Oxford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Plainfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,6
Plainville,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Plymouth,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Pomfret,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Portland,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Preston,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Prospect,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,34
Putnam,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,26
Redding,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Ridgefield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Rocky Hill,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Roxbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Salem,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Salisbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Scotland,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Seymour,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,28
Sharon,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Shelton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,33
Sherman,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Simsbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Somers,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,16
South Windsor,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,13
Southbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Southington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,16
Sprague,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Stafford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,12
Stamford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Sterling,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Stonington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,5
Stratford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Suffield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
Thomaston,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Thompson,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Tolland,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,16
Torrington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Trumbull,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Union,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Vernon,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,3
Voluntown,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Wallingford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,8
Warren,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,4
Washington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,18
Waterbury,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,11
Waterford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,7
Watertown,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,1
West Hartford,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,20
West Haven,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,41
Westbrook,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Weston,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Westport,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Wethersfield,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Willington,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Wilton,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,2
Winchester,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,0
Windham,2007,Tobacco,Male,Number,School suspensions and expulsions in past year,6
